video,utt.num,utt,objects.present,objects.referred,mom.eyes,mom.hands,mom.point,kid.eyes,kid.hands
A31,1,are you my boy,truck,,child,truck,,,truck
A31,2,yeah,truck,,child,truck,,truck,truck
A31,3,brrrrrn,truck,,child,truck,,,truck
A31,4,drrrrrn,truck,,child,truck,,,truck
A31,5,here it comes,truck,truck,child,truck,,,truck
A31,6,here it comes,truck,truck,child,truck,,,truck
A31,7,its gonna get you,truck,truck,child,truck,,,truck
A31,8,shhhhhhm,truck,,child,truck,,,truck
A31,9,shhhhhhm,truck,,child,truck,,,truck
A31,10,its gonna get you,truck,truck,child,truck,,,truck
A31,11,its gonna get you,,truck,child,truck,,,
A31,12,robert,truck,,child,truck,,,mom
A31,13,whered it go,truck,truck,child,truck,,,mom
A31,14,there it is,truck,truck,child,truck,,,truck
A31,15,whered it go,,truck,child,truck,,,mom
A31,16,oh no not gonna get upset,truck,,child,truck,,,truck
A31,17,you have to have that truck huh,truck,truck,child,,,truck,truck
A31,18,was i making you mad,truck,,child,,,truck,mom
A31,19,was i making you mad,truck,,child,,,truck,mom
A31,20,oh dont hit yourself with the nose,truck,,child,,,truck,mom
A31,21,silly guy,truck,,child,car,,truck,mom
A31,22,robert,truck,,child,car,,truck,truck
A31,23,robert,truck,,child,car,,truck,truck
A31,24,robert,truck car,,child,car,,truck,truck
A31,25,hey,truck,,child,car,,truck,truck
A31,26,robert,truck,,child,car,,truck,mom
A31,27,hello there,truck car,,child,car,,truck,truck
A31,28,look at this,truck car,car,child,car,,truck,truck
A31,29,look what i got,truck car,car,child,car,,truck,truck
A31,30,can you see what i have,truck car,car,child,car,,truck,truck
A31,31,tshhhhhhh,truck car,,child,car,,truck,car
A31,32,say a bird in the hand,truck car,,child,car,,truck,car
A31,33,shhhhhh,truck car,,child,car,,truck,car
A31,34,like that,truck car,,child,car,,truck,truck
A31,35,what,truck,,child,car,,truck,mom
A31,36,what did you say,truck,,child,car,,truck,mom
A31,37,did you say ga,truck,,child,car,,truck,truck
A31,38,didnt say truck,truck,truck,child,car,,truck,mom
A31,39,truck,truck,truck,child,car,,truck,mom
A31,40,can you say truck,truck,truck,child,car,,truck,mom
A31,41,huh,truck,,child,car,,truck,mom
A31,42,truck,truck,truck,child,car,,truck,mom
A31,43,this is a car,car truck,car,child,car,,truck,car
A31,44,thats a shiny car,car,car,child,car,,,car
A31,45,yeah,car,,child,,,car,mom
A31,46,oh does it taste good,car,car,child,,,car,mom
A31,47,does it taste good,car,car,child,child,,car,mom
A31,48,oh theres a garbage truck outside too,car,,child,child,,car,mom
A31,49,thats a big truck,car,,child,child,,car,mom
A31,50,big noisy garbage truck,car,,child,child,,car,mom
A31,51,what did you say,car,,child,truck,,car,mom
A31,52,what did you say,truck,,child,truck,,,mom
A31,53,huh,truck,,child,truck,,,truck
A31,54,i think you like this one the best,truck,truck,child,truck,,,truck
A31,55,red wheels and yellow and green its so pretty,truck,truck,child,truck,,truck,truck
A31,56,and its wood,truck,truck,child,,truck,truck,mom
