"video","utt.num","utt","objects.present","objects.referred","mom.eyes","mom.hands","mom.point","kid.eyes","kid.hands"
"A39",1,"okay","car truck",,"truck","child",,,
"A39",2,"look at this bryn look","car truck","truck","truck","child",,,
"A39",3,"heres a little truck","car truck","truck","truck","child",,"truck",
"A39",4,"yeah","car truck",,"child","truck",,"truck",
"A39",5,"look at this","car truck","truck","child","truck",,"truck",
"A39",6,"vrooom","car truck",,"child","truck",,"truck",
"A39",7,"vrooom","car truck",,"child","truck",,"truck",
"A39",8,"whats that","car truck","truck","child","truck",,"truck",
"A39",9,"oh you caught it","car truck","truck","child",,,"truck","truck"
"A39",10,"its okay if she puts it in her mouth","car truck","truck",,,,"truck","truck"
"A39",11,"good cause thats where its going","car truck","truck","child",,,"truck","truck"
"A39",12,"what do you think of that","car truck","truck","child",,,"truck","truck"
"A39",13,"pretty good huh","car truck",,"child",,,"truck","truck"
"A39",14,"yeah","car truck",,"child",,,"truck","truck"
"A39",15,"here comes another one","car truck","car","car","car",,"truck","truck"
"A39",16,"here comes another one","car truck","car","car","car",,"car","truck"
"A39",17,"brrrrr","car truck",,"car","car",,"car","truck"
"A39",18,"aaah taste that one too","car truck","car","child",,,"car","car truck"
"A39",19,"what do you think","car truck",,"child",,,"car","car truck"
"A39",20,"its pretty heavy","car truck","car","child",,,"car","car truck"
"A39",21,"are you gonna get that to your mouth","car truck","car","child",,,"car","car truck"
"A39",22,"hmmm","car truck",,"child",,,"car","car truck"
"A39",23,"well","car truck",,"child","truck",,"car","car truck"
"A39",24,"no ill just burp on it huh","car truck","car","child","truck",,"car","car truck"
"A39",25,"here it comes","car truck","truck","truck","truck",,"car","car"
"A39",26,"here it comes","car truck","truck","truck","truck",,"car","car"
"A39",27,"rzzshhhhrrrr","car truck",,"truck","truck",,"car","car"
"A39",28,"rrrzzzshhhrrr","car truck",,"truck","truck",,"truck","car"
"A39",29,"look at that truck","car truck","truck","child",,,"truck","truck"
"A39",30,"look at that truck","car truck","truck","car",,,"truck","truck"
"A39",31,"what do you think","car truck",,"child","child",,"truck","truck"
"A39",32,"do you wanna turn over","truck",,"child","child",,"truck","truck"
"A39",33,"turn over get a better handle on it","truck","truck","child","truck",,"truck","truck"
"A39",34,"hey","truck",,"child","child",,"truck","truck"
"A39",35,"oh","truck",,"truck","truck",,"truck",
"A39",36,"oh oh","truck",,"child","truck",,"truck",
"A39",37,"here it is","truck","truck","child","truck",,"truck",
"A39",38,"here it is","truck","truck","child","truck",,"truck",
"A39",39,"you got it","truck","truck","child","truck",,"truck","truck"
"A39",40,"there","truck",,"child","truck",,"truck","truck"
"A39",41,"oopsie","truck",,"child","truck",,"truck",
"A39",42,"oooh","truck",,"child",,,"truck","truck"
"A39",43,"kind of a hard toy","truck","truck","child",,,"truck","truck"
"A39",44,"she gave herself a black eye with a toy the other day","truck",,"child",,,"truck","truck"
"A39",45,"oh youre kidding","truck",,"child",,,"truck","truck"
"A39",46,"yeah it was it was too hard","truck",,"child",,,"truck","truck"
"A39",47,"i have to remember whos whos older and whos younger around here","truck",,,,,"truck","truck"
"A39",48,"around here","truck",,"child","child",,"truck","truck"
"A39",49,"yeah","truck",,"child","child",,"truck","truck"
"A39",50,"we got hold of that one","truck","truck","child",,,"truck","truck"
"A39",51,"we got hold of that one","truck","truck","child",,,"truck","truck"
"A39",52,"oh","truck",,"child",,,,
"A39",53,"oh oh","truck",,"child","truck",,,
"A39",54,"here it is","truck","truck","child","truck",,"truck",
"A39",55,"oh","truck",,"child","truck",,,
"A39",56,"are you bored with that one","truck","truck","child","truck",,,
"A39",57,"all done with that one","car truck","truck","child","truck",,"truck",
"A39",58,"oh","car truck",,"child",,,"truck","truck"
"A39",59,"whos that pretty lady","car truck",,"child",,,,"truck"
"A39",60,"whos that","car truck",,"child",,,,"truck"
"A39",61,"whos that pretty lady","car truck",,"child",,,,"truck"
"A39",62,"shes flirting","car truck",,"child",,,,"truck"
"A39",63,"are you flirting with that lady","car truck",,"child","truck",,,"truck"
"A39",64,"yeah","car truck",,"child","truck",,,
"A39",65,"is she more interesting than the toys","car truck","car truck","child","truck",,"truck",
"A39",66,"is she more inter","car truck",,"child","truck",,"truck",
"A39",67,"gotta get that truck","car truck","truck","child","truck",,"truck",
"A39",68,"get that truck","car truck","truck","truck",,,"truck",
"A39",69,"get that truck","car truck","truck","truck",,,"truck",
"A39",70,"can you get that truck","car truck","truck","truck",,,"truck",
"A39",71,"hmm","car truck",,"truck",,,"truck",
"A39",72,"can you get that truck","car truck","truck","truck",,,"truck",
"A39",73,"are you tired of those toys",,"car truck","child","child",,"mom",
"A39",74,"are you tired of those toys",,"car truck","child","child",,"mom",
"A39",75,"huh",,,"child","child",,"mom",
"A39",76,"you want something else","car truck",,"child","child",,"mom",
"A39",77,"want something else","car truck",,"child","child",,"mom",
"A39",78,"what do you think","car truck",,"child","child",,,
"A39",79,"look at that","dog pig","dog pig","dog pig","child",,"dog pig",
"A39",80,"look at that","dog pig","dog pig","dog pig","child",,"dog pig",
"A39",81,"is that a doggie","dog pig","dog pig","child",,,"dog",
"A39",82,"is that a doggie","dog pig","dog pig","child",,,"dog",
"A39",83,"woof woof woof","dog pig",,"child","dog",,"dog",
"A39",84,"woof woof","dog pig",,"child","dog",,"dog",
"A39",85,"tst tst tst tst","dog pig",,"child","dog",,"dog",
"A39",86,"tst tst tst tst tst","dog pig",,"child","dog",,"dog",
"A39",87,"mhmm","dog pig",,"child","dog",,"dog",
"A39",88,"tst tst tst tst tst","dog pig",,"child","dog",,"dog",
"A39",89,"tst tst tnt tst tst tst","dog pig",,"child","dog",,"dog",
"A39",90,"do you have to wash these things each time you do a study","dog pig","dog pig","dog","dog",,"dog",
"A39",91,"look at the piggy","dog pig","pig","pig","pig",,"dog",
"A39",92,"heres the piggy","dog pig","pig","pig","pig",,"pig",
"A39",93,"oh this ones a puppet","dog pig","pig","pig","pig",,"pig",
"A39",94,"look at there","dog pig",,"pig","pig",,"pig",
"A39",95,"hi brynie","dog pig",,"child","pig",,"pig",
"A39",96,"hi","dog pig",,"child","pig",,"pig",
"A39",97,"and he squeaks","dog pig","pig","pig","pig",,"pig",
"A39",98,"how did i do that","dog pig",,"pig","pig",,"pig",
"A39",99,"hi brynie","dog pig",,"child","pig",,"pig",
"A39",100,"hi","dog pig",,"child","pig",,"pig",
"A39",101,"tst tst tst tst","dog pig",,"child","pig",,"pig",
"A39",102,"tst","dog pig",,"child","pig",,"pig",
"A39",103,"you got it","dog pig","pig","child",,,"pig","pig"
"A39",104,"you got it","dog pig","pig","child",,,"pig","pig"
"A39",105,"tst","dog pig",,"child","pig",,"pig",
"A39",106,"da da da da na na na","dog pig",,"child","pig",,"pig",
"A39",107,"a da da da da da na na na na","dog pig",,"child","pig",,"pig",
"A39",108,"its got a squeaker in it","dog pig","pig","child","pig",,"pig",
"A39",109,"oh there there it is","dog pig","pig","child","pig",,"pig",
"A39",110,"a da da da","dog pig",,"child","pig",,"pig",
"A39",111,"a num num num","dog pig",,"child","pig",,,
"A39",112,"a num num num","dog pig",,"child","pig",,"pig",
"A39",113,"oh you made it squeak","dog pig","pig","child","pig",,"pig",
"A39",114,"you made it squeak","dog pig","pig","child","pig",,"pig",
"A39",115,"a bum bum vrrooom","dog pig",,"child","pig",,"pig",
"A39",116,"what a ham","dog pig",,,,,"pig",
"A39",117,"what a ham","dog pig",,"child","child",,,
"A39",118,"what a ham you are","dog pig",,"child","dog",,,
"A39",119,"heres the doggie","dog pig","dog pig","child","dog",,"dog",
"A39",120,"a woo woo woo","dog pig",,"child","dog",,"dog",
"A39",121,"mmmm moo moo moo","dog pig",,"child","dog",,"dog",
"A39",122,"mmm moo moo moo","dog pig",,"child","dog",,"dog",
"A39",123,"what is it","dog pig",,"child","pig",,"pig",
"A39",124,"you like that squeaker","dog pig","pig","child","pig",,"pig",
"A39",125,"you like that squeaker","dog pig","pig","child","pig",,"pig",
"A39",126,"you gonna get those toys","dog pig","dog pig","child",,,,
"A39",127,"here","dog pig",,"child","child",,,
"A39",128,"try it this way",,,"child","child",,,
"A39",129,"here it comes","pig","pig","child","pig",,"pig",
"A39",130,"here it comes","pig","pig","child","pig",,"pig",
"A39",131,"ohhhh","pig",,"child","pig",,"pig",
"A39",132,"want that one","dog","dog pig","child","dog",,"dog",
"A39",133,"want the doggie","dog","dog pig","child","dog",,"dog",
"A39",134,"yes","dog",,"child",,,"dog","dog"
"A39",135,"you like how that one feels huh","dog","dog pig","child",,,"dog","dog"
"A39",136,"you like that one","dog","dog pig","child","dog",,"dog",
"A39",137,"there it is","dog","dog pig","child","dog",,"dog","dog"
"A39",138,"the best toys of all is people","dog",,"child",,,,"dog"
"A39",139,"what a what a what a what a what","dog pig",,"child","child",,"dog","dog"
"A39",140,"what a what a what a what a what a what","dog pig",,"child","child",,"dog","dog"
"A39",141,"where are you going","dog pig",,"child","child",,"dog","dog"
"A39",142,"where are you going","dog pig",,"child","child",,"dog","dog"
"A39",143,"hmm","dog pig",,"child","child",,"dog","dog"
"A39",144,"where are you going","dog pig",,"child","child",,"dog","dog"
"A39",145,"what a what a what a what a what a what","dog pig",,"child","child",,"dog","dog"
"A39",146,"can you hear your sister","dog",,"child","dog",,"dog",
"A39",147,"ha ha ha","dog",,"child","dog",,"dog",
"A39",148,"ha ha ha ha","dog",,"child","dog",,"dog",
"A39",149,"ha ha ha ha","dog",,"child",,,"dog","dog"
"A39",150,"ha ha ha ha ha","dog",,"child","dog",,"dog","dog"
"A39",151,"ha ha ha ha ha","dog",,"child","dog",,"dog","dog"
"A39",152,"ha ha ha ha ha","dog",,"child","dog",,"dog","dog"
"A39",153,"ha ha ha ha","dog",,"child","dog",,"dog","dog"
"A39",154,"wheres the doggie","dog","dog","child","dog",,"dog","dog"
"A39",155,"ha ha ha","dog",,"child","dog",,"dog","dog"
"A39",156,"oh","dog",,"child",,,,
"A39",157,"oh oh","dog",,"child",,,,
"A39",158,"where is it","dog","dog","child","dog",,,
"A39",159,"where is it","dog","dog","child","dog",,,
"A39",160,"peekaboo","dog",,"child","dog",,"dog",
"A39",161,"peekaboo","dog",,"child","dog",,"dog",
"A39",162,"ah","dog",,"child","dog",,,
"A39",163,"peekaboo","dog",,"child","dog",,"dog",
"A39",164,"is that funny","dog",,"child","dog",,,
"A39",165,"peekaboo","dog",,"child","dog",,"dog",
"A39",166,"peekaboo","dog",,"child","dog",,"dog",
"A39",167,"ah","dog",,"child","dog",,,
"A39",168,"peekaboo","dog",,"child","dog",,"dog",
"A39",169,"peekaboo","dog",,"child","dog",,"dog",
"A39",170,"peekaboo","dog",,"child",,,"dog","dog"
"A39",171,"are you gonna get the doggie","dog","dog","child","dog",,"dog",
"A39",172,"can you get him","dog","dog","child","dog",,"dog",
"A39",173,"get the doggie","dog","dog","child","dog",,"dog",
"A39",174,"get that doggie","dog","dog","child","dog",,"dog",
"A39",175,"get that doggie","dog","dog","child","dog",,"dog",
"A39",176,"where are you going","dog",,"child","dog",,"dog",
"A39",177,"hmm","dog",,"child","child dog",,,
"A39",178,"where are you going","dog",,"child","child dog",,,
